id,name,address,phone,Depart id
1,Smart Village,28 Km by Cairo / Alexandria Desert Road,1200000001,1
2,Cairo University,"Dokki, Giza",1200000002,1
3,Beni Suef,"Gamal Abdel Nasser St, Al-Wasti",1200000003,2
4,Minya,Minya University,1200000004,2
5,Assiut,Assiut University,1200000005,2
6,Sohag,New Sohag University,1200000006,2
7,Qena,South Valley University,1200000007,2
8,Aswan,"Abu Simbel, High Dam area",1200000008,2
9,Menofia,"Shebin El Kom, Monufia",1200000009,3
10,Banha,"Mohamed Saqr St, Nasr City",1200000010,3
11,Alex,"Kom Ad Dakah Gharb, Al Attarin",1200000011,4
12,Mansoura,"Kafr Al Mougi, El Mansoura",1200000012,4